Sample ID,date_time,leaf Area (cm²),Position,Fresh Mass (g),Out Mass (g),Dry Mass (g),Needle length (cm),Needle width (cm),Needle n°,Mean needle Area (cm²),Location
NEEX1,6/7/2021,81.43,A_01,1.785,0.6454,0.3337,,,,,
NEEX2,6/7/2021,100.25,A_02,2.2839,0.9177,0.5258,,,,,
NEEX3,6/7/2021,91.46,A_03,2.2043,0.8187,0.5393,,,,,
NEEX4,6/7/2021,103.94,A_04,3.0125,1.646,0.705,,,,,
NEEX5,6/7/2021,61.57,A_05,1.4998,0.6141,0.2725,,,,,
NEEX6,6/7/2021,80.48,A_06,1.9411,1.0628,0.5032,,,,,
NEEX7,6/7/2021,73.68,A_07,1.6923,0.6777,0.3971,,,,,
NEEX8,6/7/2021,84.18,A_08,2.4233,1.3368,0.568,,,,,
ZIMI1,6/7/2021,96.21,A_09,2.6744,0.5492,0.4209,,,,,
ZIMI2,6/7/2021,114.35,A_10,3.0779,0.6463,0.477,,,,,
ZIMI3,6/7/2021,100.58,A_11,2.7392,0.423,0.333,,,,,
ZIMI4,6/7/2021,88.33,A_12,2.7547,0.5247,0.4524,,,,,
ZIMI5,6/7/2021,89.75,B_13,2.746,0.4806,0.382,,,,,
ZIMI6,6/7/2021,95.45,B_14,2.7637,0.5459,0.4426,,,,,
ZIMI7,6/7/2021,79.19,B_15,2.148,0.378,0.3188,,,,,
ZIMI8,6/7/2021,95.73,B_16,2.9267,0.6043,0.4674,,,,,
DRER1,6/7/2021,197.2,B_17,2.9856,0.6728,0.605,,,,,
DRER2,6/7/2021,118.06,B_18,2.1708,0.5351,0.4974,,,,,
DRER3,6/7/2021,213.9,B_19,3.9756,0.9909,0.9179,,,,,
DRER4,6/7/2021,138.85,B_20,2.2198,0.5527,0.4992,,,,,
DRER5,6/7/2021,146.4,B_21,2.0676,0.4745,0.4346,,,,,
DRER6,6/7/2021,78.76,B_22,1.506,0.4062,0.3693,,,,,
DRER7,6/7/2021,159.71,B_23,2.4508,0.5752,0.5126,,,,,
DRER8,6/7/2021,103.68,B_24,1.5669,0.3727,0.3347,,,,,
