date_time,Campaign,Comment,Temp_A,RH_A,Temp_B,RH_B,Temp_C,RH_C,Temp_D,RH_D,A_01,A_02,A_03,A_04,A_05,A_06,A_09,A_10,A_11,A_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
06/07/21 12:46,Campagne_35_,,25,60,25,60,25,60,25,60,1.856545868,2.320790065,2.174660142,3.107247747,,,,,,,,,,,,,,,,,,
06/07/21 12:51,Campagne_35_,,26.06,62.88,26.34,63.66,24.92,66,24.8,68.89,1.481976706,2.277488134,1.989259586,3.004870795,1.657591438,1.747118666,,,,,,,,,,,,,,,,
06/07/21 12:56,Campagne_35_,,27.71,62.19,27.92,63.27,26.83,64.34,26.87,65.69,1.58175196,2.198344388,1.963316146,2.923705515,1.580665582,1.797256192,,,,,,,,,,,,,,,,
06/07/21 13:01,Campagne_35_,,27.95,62.37,28.22,63.12,26.96,65.14,26.88,66.83,1.669178816,2.229482882,2.001440367,2.952455057,1.557908324,1.808021792,,,,,,,,,,,,,,,,
06/07/21 13:06,Campagne_35_,,27.88,63.04,28.09,64.17,26.89,65.55,26.67,67.6,1.694040379,2.286732304,2.03513506,2.967706605,1.532426693,1.821863397,,,,,,,,,,,,,,,,
06/07/21 13:11,Campagne_35_,,27.58,63.7,27.83,64.71,26.65,65.97,26.66,68.71,1.695028265,2.283488616,2.09540608,2.957714212,1.484828804,1.851238433,,,,,,,,,,,,,,,,
06/07/21 13:16,Campagne_35_,,27.48,63.68,27.61,65.05,26.36,66.35,26.3,68.44,1.71116362,2.317384254,2.117394741,2.951929142,1.444442794,1.85262261,,,,,,,,,,,,,,,,
06/07/21 13:21,Campagne_35_,,27.44,63.35,27.65,64.71,26.31,66.18,26.16,68.95,1.700790816,2.242457284,2.1218241,2.950702069,1.464154921,1.83970379,,,,,,,,,,,,,,,,
06/07/21 13:26,Campagne_35_,,27.44,63.41,27.64,64.55,26.41,65.91,26.37,68.07,1.775210741,2.223157805,2.129417385,2.952279815,1.40710157,1.84477894,,,,,,,,,,,,,,,,
06/07/21 13:31,Campagne_35_,,27.35,63.92,27.68,64.65,26.45,66.25,26.44,68.54,1.675106132,2.201263654,2.115971,2.93369772,1.392677983,1.856928883,,,,,,,,,,,,,,,,
06/07/21 13:36,Campagne_35_,,27.57,64.02,27.8,64.58,26.65,65.91,26.4,67.91,1.626041714,2.239213597,2.1218241,2.924581915,1.408063154,1.85831306,,,,,,,,,,,,,,,,
06/07/21 13:41,Campagne_35_,,27.61,63.25,27.75,65.05,26.65,66.06,26.67,68.43,1.691406075,2.256242477,2.117236604,2.897409931,1.396043527,1.837243086,,,,,,,,,,,,,,,,
06/07/21 13:46,Campagne_35_,,27.57,63.56,27.78,64.79,26.61,65.97,26.68,68.04,1.678893087,2.227212458,2.100310019,2.909505798,1.38754965,1.826631062,,,,,,,,,,,,,,,,
06/07/21 13:51,Campagne_35_,,27.49,63.85,27.78,65.07,26.44,66.14,26.31,68.63,1.694369733,2.249268732,2.106321427,2.876373501,1.387068858,1.825400793,,,,,,,,,,,,,,,,
06/07/21 13:56,Campagne_35_,,27.45,63.71,27.62,65.06,26.38,66.44,26.46,68.37,1.708035373,2.204020623,2.090344003,2.890923703,1.365593769,1.837704313,,,,,,,,,,,,,,,,
06/07/21 14:01,Campagne_35_,,27.58,63.06,27.83,64.81,26.58,65.78,26.61,68.01,1.687948474,2.270352091,2.076739481,2.895131027,1.36142702,1.836166394,,,,,,,,,,,,,,,,
06/07/21 14:06,Campagne_35_,,27.49,63.92,27.69,64.67,26.44,66.1,26.34,68.31,1.660123429,2.259323867,2.061869524,2.867082454,1.355176725,1.823093831,,,,,,,,,,,,,,,,
06/07/21 14:11,Campagne_35_,,27.23,67.42,27.59,68,26.35,69.42,26.23,72.18,1.626371068,2.217319446,2.076423207,2.861297572,1.351330389,1.823247574,,,,,,,,,,,,,,,,
06/07/21 14:16,Campagne_35_,,27.87,52.36,28.09,53.97,26.75,55.52,26.97,56.01,1.681033448,2.216184234,2.038615259,2.880405582,1.366875767,1.770188117,,,,,,,,,,,,,,,,
06/07/21 14:21,Campagne_35_,,28.16,51.18,28.89,54.07,29.28,54.38,28.91,54.45,1.610071125,2.231753481,2.001598504,2.873042766,1.383062315,1.75742304,2.781440636,,,2.867940135,,,,,,,,,,,,
06/07/21 14:26,Campagne_35_,,27.77,38.83,28.07,39.98,25.98,44.2,25.49,45.48,1.581258017,2.221049504,1.906999905,2.977348138,1.44348121,1.654379966,2.692745934,3.292991862,2.651094674,2.813021381,2.539935431,2.77689969,1.83911158,2.960992426,,,,,,,,
06/07/21 14:31,Campagne_35_,,27.95,61.49,28.2,62.77,26.93,64.46,26.68,66.8,1.397348743,2.155042457,1.821101888,2.829567591,1.453257084,1.686369448,2.778935105,3.141698036,2.620609462,2.753540277,2.763604535,2.75836633,2.038391181,2.949663753,,,,,,,,
06/07/21 14:36,Campagne_35_,,28.13,62.32,28.37,63.2,27.23,64.59,26.95,66.68,1.542401637,2.171584793,1.859067804,2.829567591,1.419762368,1.686369448,2.72682079,3.031666234,2.593653933,2.706563587,2.777123844,2.652086076,2.105639212,2.862247478,,,,,,,,
06/07/21 14:41,Campagne_35_,,28,62.97,28.24,62.92,26.9,65.4,26.71,67.75,1.575660055,2.125525719,1.888491443,2.832898326,1.380498149,1.703287056,2.747532935,2.986241904,2.561724665,2.63981629,2.770791962,2.608950696,2.109864271,2.810508018,,,,,,,,
06/07/21 14:46,Campagne_35_,,27.6,64.24,27.89,64.53,26.66,65.61,26.3,68.13,1.557878283,2.123092997,1.938163729,2.821679048,1.34235572,1.725433558,2.735506389,2.946065929,2.568623984,2.572899889,2.724757698,2.600258037,2.10757576,2.771787845,,,,,,,,
06/07/21 14:51,Campagne_35_,,31.72,41.44,31.59,43.22,30.56,43.31,30.01,43.37,1.641683125,2.083196877,1.967270925,2.913713122,1.425371493,1.660839458,2.533562967,2.921453521,2.405447617,2.626297799,2.609414876,2.485613037,1.945617007,2.62079618,3.048053397,2.068830403,3.959178894,2.018256056,1.932335638,,,
06/07/21 14:56,Campagne_35_,,25.64,52.55,26.28,53.04,24.13,56.96,24.24,58.52,1.415953636,2.185532284,1.807339229,2.855512502,1.455500837,1.601935644,2.539409265,3.014292781,2.39694385,2.525078406,2.380440875,2.593861466,1.627861106,2.736280237,3.09776039,2.147785627,4.019188506,2.074105915,1.741763218,1.479342168,2.533532847,1.318556595
06/07/21 15:01,Campagne_35_,,27.41,63.23,27.76,63.57,26.51,64.63,26.19,66.56,1.379237616,2.156988635,1.735362009,2.811862085,1.407582362,1.622082834,2.574987259,2.953485794,2.389723573,2.506490437,2.574332917,2.557122657,1.907768027,2.734758466,3.036682415,1.983141056,4.049517664,2.14783437,1.845335145,1.434255219,2.487990135,1.396334487
06/07/21 15:06,Campagne_35_,,27.74,62.78,27.95,63.89,26.9,65.05,26.88,66.52,1.50766139,2.11709234,1.780921209,2.789072667,1.375850608,1.651150219,2.634117239,2.863542077,2.452138225,2.496520582,2.697034238,2.543837647,2.015329718,2.681497236,3.030347121,1.962434357,4.006051276,2.230757901,1.91942899,1.439173846,2.439368223,1.45275523
